"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"1","bmg2025teha","2025-09-30T17:15:57.966686Z","-7.27187442779541","114.16291046142578","4.324921555575745","MLv","15","48","57.11295509338379","Bali Sea","BMKG"
"2","bmg2025tegd","2025-09-30T16:49:44.789704Z","-7.286922454833984","114.20867156982422","5.893099112455015","Mw","13","395","20.320648193359375","Bali Sea","BMKG"
"3","bmg2025tdze","2025-09-30T13:18:06.028733Z","-2.2670297622680664","139.1969757080078","4.915879716780846","MLv","16","29","147.4192123413086","Near North Coast of West Papua","BMKG"
"4","bmg2025tdxj","2025-09-30T12:23:42.540014Z","-9.413631439208984","114.03515625","4.117693980210089","M","10","35","229.2325897216797","South of Bali, Indonesia","BMKG"
"5","bmg2025tdkn","2025-09-30T05:53:45.80691Z","-8.338301658630371","107.32474517822266","4.1170234008324975","M","10","52","222.24445343017578","Java, Indonesia","BMKG"
"6","bmg2025tcxo","2025-09-29T23:21:18.433425Z","-6.1166090965271","130.40550231933594","4.083449808051082","M","141","12","179.57093811035156","Banda Sea","BMKG"
"7","bmg2025tcvw","2025-09-29T22:30:15.228913Z","-8.286308288574219","107.34732055664062","4.913373802749125","mb","10","179","179.18419647216797","Java, Indonesia","BMKG"
"8","bmg2025tcpv","2025-09-29T19:25:26.79653Z","-1.673664927482605","97.7700424194336","4.0608803036941845","ML","56","54","227.0268859863281","Southwest of Sumatra, Indonesia","BMKG"
"9","bmg2025tbqt","2025-09-29T06:47:05.80881Z","-1.6437362432479858","137.42361450195312","4.2550812326738994","M","51","13","187.59343719482422","Near North Coast of West Papua","BMKG"
"10","bmg2025tbnm","2025-09-29T05:08:01.69805Z","4.148826599121094","97.4606704711914","4.059775142738162","M","10","18","132.89783477783203","Northern Sumatra, Indonesia","BMKG"
"11","bmg2025tbnl","2025-09-29T05:06:18.782065Z","4.1461195945739746","97.50434875488281","4.3969400860328447","M","10","23","83.64828872680664","Northern Sumatra, Indonesia","BMKG"
"12","bmg2025tbls","2025-09-29T04:13:43.301574Z","-2.658884048461914","129.47166442871094","4.485679800335178","M","10","54","47.59561157226562","Seram, Indonesia","BMKG"
"13","bmg2025tbjr","2025-09-29T03:11:47.005067Z","-2.7394142150878906","129.49896240234375","4.224018242353474","M","14","21","104.60442352294922","Seram, Indonesia","BMKG"
"14","bmg2025taqe","2025-09-28T17:21:19.97919Z","-2.1760156154632568","139.69671630859375","4.494837314901613","MLv","13","63","180.40947723388672","Near North Coast of West Papua","BMKG"
"15","bmg2025takm","2025-09-28T14:29:00.609822Z","5.897425174713135","126.40938568115234","4.1623708186983643","MLv","104","25","188.32859802246094","Mindanao, Philippines","BMKG"
"16","bmg2025szww","2025-09-28T07:35:47.199221Z","-4.856156826019287","104.61811828613281","4.1866715690640177","MLv","190","74","111.17105865478516","Southern Sumatra, Indonesia","BMKG"
"17","bmg2025syzo","2025-09-27T19:48:55.431712Z","5.411081790924072","123.97527313232422","4.1121069744743846","M","485","22","211.87352752685547","Mindanao, Philippines","BMKG"
"18","bmg2025syod","2025-09-27T14:02:47.810672Z","-7.58200740814209","128.2068328857422","4.534394962358578","M","181","46","59.90788269042969","Banda Sea","BMKG"
"19","bmg2025syln","2025-09-27T12:44:17.719128Z","-9.610011100769043","124.31270599365234","4.2874162212632783","M","33","24","79.65733337402344","Timor Region","BMKG"
"20","bmg2025syfc","2025-09-27T09:29:11.071147Z","-2.7958691120147705","129.70111083984375","4.035870155230805","MLv","10","21","104.28929138183594","Seram, Indonesia","BMKG"
"21","bmg2025syel","2025-09-27T09:08:58.30071Z","-2.668137550354004","129.5316925048828","5.228045848597473","Mw(mB)","47","242","32.14946937561035","Seram, Indonesia","BMKG"
"22","bmg2025syde","2025-09-27T08:30:25.803797Z","-6.740143775939941","132.4058074951172","4.156235664131491","M","94","14","198.59115600585938","Tanimbar Islands Region, Indonesia","BMKG"
"23","bmg2025sxww","2025-09-27T05:19:58.050476Z","-8.336804389953613","119.6423110961914","4.070616100777813","M","181","54","86.45034289360046","Flores Region, Indonesia","BMKG"
