"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"1","bmg2025zoyj","2025-12-30T22:36:10.818835Z","2.9838356971740723","128.92593383789062","4.0315553892328166","MLv","8","27","206.40147399902344","Halmahera, Indonesia","BMKG"
"2","bmg2025zova","2025-12-30T20:55:10.413732Z","1.2793054580688477","123.21710205078125","4.4043681103145644","Mw","23","69","111.6026382446289","Minahassa Peninsula, Sulawesi","BMKG"
"3","bmg2025zohj","2025-12-30T14:01:13.28199Z","4.728428840637207","96.76545715332031","4.1520199123481136","MLv","4","41","109.97412872314453","Northern Sumatra, Indonesia","BMKG"
"4","bmg2025zogt","2025-12-30T13:43:10.944868Z","4.757323741912842","96.77938842773438","4.7086296693208","MLv","5","63","46.714111328125","Northern Sumatra, Indonesia","BMKG"
"5","bmg2025znke","2025-12-30T02:17:53.400391Z","-4.2688889503479","135.38612365722656","4.186582655520761","MLv","7","25","121.47206115722656","West Papua Region, Indonesia","BMKG"
"6","bmg2025znfp","2025-12-29T23:59:05.461527Z","4.644572734832764","127.9859390258789","4.174148378227529","MLv","21","40","199.55215454101562","Talaud Islands, Indonesia","BMKG"
"7","bmg2025zneq","2025-12-29T23:30:44.452252Z","-3.3082728385925293","140.7689971923828","4.238426733800692","MLv","27","23","171.74302196502686","West Papua, Indonesia","BMKG"
"8","bmg2025zmwy","2025-12-29T19:37:37.787368Z","-6.559879779815674","102.20835876464844","4.3310801405607657","M","20","78","226.6819534301758","Southwest of Sumatra, Indonesia","BMKG"
"9","bmg2025zmng","2025-12-29T14:43:00.60873Z","1.0167148113250732","126.12128448486328","4.4157061559345507","MLv","20","92","35.28436279296875","Northern Molucca Sea","BMKG"
"10","bmg2025zlup","2025-12-29T05:17:56.273859Z","0.18998463451862335","126.68890380859375","4.847126102889794","Mw(mB)","98","156","34.150463104248047","Northern Molucca Sea","BMKG"
