"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"1","bmg2025xmep","2025-11-30T23:16:38.885662Z","-2.938852548599243","130.25596618652344","4.898663304386948","Mw","8","81","28.16630554199219","Seram, Indonesia","BMKG"
"2","bmg2025xlfn","2025-11-30T10:36:41.137682Z","-1.9728063344955444","139.02890014648438","4.2987407207127495","MLv","18","43","190.7345733642578","Near North Coast of West Papua","BMKG"
"3","bmg2025xlbk","2025-11-30T08:31:52.411003Z","-1.8535813093185425","128.88499450683594","4.740998659387958","MLv","21","66","44.37320327758789","Halmahera, Indonesia","BMKG"
"4","bmg2025xkzf","2025-11-30T07:25:46.381173Z","-8.678792953491211","112.81195068359375","4.3002513000343976","MLv","118","99","187.22509002685547","Java, Indonesia","BMKG"
"5","bmg2025xkxb","2025-11-30T06:19:30.26749Z","-7.512059211730957","120.5925064086914","4.192903533030555","MLv","474","31","88.46676635742188","Flores Sea","BMKG"
"6","bmg2025xkvr","2025-11-30T05:37:41.092599Z","-1.7038615942001343","139.15870666503906","4.111913185608853","MLv","6","23","209.94507598876953","Near North Coast of West Papua","BMKG"
"7","bmg2025xktb","2025-11-30T04:18:13.888939Z","-7.117355346679688","127.56647491455078","4.212120167149984","MLv","381","18","135.58663177490234","Banda Sea","BMKG"
"8","bmg2025xjtm","2025-11-29T15:23:06.863797Z","0.36049875617027283","121.99972534179688","4.323903953496619","MLv","169","117","57.41963195800781","Minahassa Peninsula, Sulawesi","BMKG"
"9","bmg2025xjjy","2025-11-29T10:33:54.911456Z","-4.3992676734924316","140.2445831298828","4.2555073754001995","MLv","12","19","135.59935760498047","West Papua, Indonesia","BMKG"
"10","bmg2025xjbz","2025-11-29T06:33:00.254378Z","-5.883190631866455","130.9340057373047","4.568282285823464","mb","134","108","69.70594024658203","Banda Sea","BMKG"
"11","bmg2025xigl","2025-11-28T19:40:19.356257Z","-6.943390846252441","130.0524139404297","4.4495788375810044","mb","150","65","110.46728515625","Banda Sea","BMKG"
"12","bmg2025xhye","2025-11-28T15:28:51.008743Z","5.666865348815918","126.27808380126953","4.630022585792315","MLv","138","59","137.0444793701172","Mindanao, Philippines","BMKG"
"13","bmg2025xhkl","2025-11-28T08:32:53.725601Z","-7.210548877716064","129.8302764892578","4.786838480506897","Mw","184","98","62.3719482421875","Banda Sea","BMKG"
"14","bmg2025xhip","2025-11-28T07:37:34.605015Z","-2.8984196186065674","128.31741333007812","4.160991632917275","MLv","5","28","51.94140625","Ceram Sea","BMKG"
"15","bmg2025xhdu","2025-11-28T05:11:39.576296Z","-6.061906814575195","127.66613006591797","4.3974914243151826","MLv","387","43","58.34808349609375","Banda Sea","BMKG"
"16","bmg2025xhcp","2025-11-28T04:35:25.865238Z","-6.275124073028564","105.7552261352539","4.250556984726293","Mw","160","214","79.90452575683594","Sunda Strait, Indonesia","BMKG"
"17","bmg2025xguy","2025-11-28T00:43:15.280502Z","-7.666771411895752","128.6195831298828","5.047031840947294","Mw","136","58","57.61104583740234","Banda Sea","BMKG"
"18","bmg2025xghd","2025-11-27T17:45:07.052789Z","4.2629942893981934","126.81689453125","4.1245353171344057","MLv","6","27","147.4978790283203","Talaud Islands, Indonesia","BMKG"
"19","bmg2025xgdt","2025-11-27T16:01:39.698133Z","-7.008659839630127","130.6408233642578","4.759233541246345","mb","104","91","39.43030548095703","Tanimbar Islands Region, Indonesia","BMKG"
"20","bmg2025xfwu","2025-11-27T12:31:12.505125Z","4.203756332397461","126.77735137939453","4.759261120112055","MLv","9","97","143.6710662841797","Talaud Islands, Indonesia","BMKG"
"21","bmg2025xfuj","2025-11-27T11:18:04.072396Z","2.6460821628570557","95.89555358886719","4.0477709544182714","MLv","20","28","227.08226776123047","Off West Coast of Northern Sumatra","BMKG"
"22","bmg2025xfru","2025-11-27T09:59:12.102952Z","1.8024077415466309","126.55337524414062","4.48921051057028","MLv","24","49","74.07141757011414","Northern Molucca Sea","BMKG"
"23","bmg2025xfpi","2025-11-27T08:45:09.580174Z","4.230583667755127","126.67240142822266","4.289516072501149","MLv","11","39","145.48309326171875","Talaud Islands, Indonesia","BMKG"
"24","bmg2025xfjn","2025-11-27T05:48:56.537961Z","2.569619655609131","95.91876220703125","4.129348561264389","MLv","11","27","229.5563201904297","Off West Coast of Northern Sumatra","BMKG"
"25","bmg2025xfiz","2025-11-27T05:32:41.545234Z","1.2260632514953613","96.57615661621094","4.683587787792094","mb","7","93","204.57083129882812","Off West Coast of Northern Sumatra","BMKG"
"26","bmg2025xfio","2025-11-27T05:19:53.709425Z","2.495864152908325","95.84494018554688","4.0580354129558156","MLv","13","20","245.5705108642578","Off West Coast of Northern Sumatra","BMKG"
"27","bmg2025xfig","2025-11-27T05:10:15.886546Z","2.5728492736816406","95.90718078613281","4.093803028988149","MLv","12","27","205.30584716796875","Off West Coast of Northern Sumatra","BMKG"
"28","bmg2025xfhu","2025-11-27T04:56:26.127559Z","2.665659189224243","95.93754577636719","6.336091746214564","Mw","18","376","35.40705871582031","Off West Coast of Northern Sumatra","BMKG"
"29","bmg2025xfhh","2025-11-27T04:41:34.234301Z","5.2685546875","126.238037109375","4.696224814579508","mb","88","92","147.34820556640625","Mindanao, Philippines","BMKG"
"30","bmg2025xeya","2025-11-27T00:00:26.389678Z","0.9683293104171753","125.124267578125","4.706352670797186","MLv","80","134","41.710405349731445","Northern Molucca Sea","BMKG"
"31","bmg2025xewb","2025-11-26T23:00:44.87596Z","4.353935718536377","122.75299072265625","4.961155907198714","Mw(mB)","17","128","113.51173400878906","Celebes Sea","BMKG"
"32","bmg2025xepx","2025-11-26T19:54:25.991342Z","0.780905544757843","96.83383178710938","5.039179742960989","Mw(mB)","40","157","197.64231872558594","Off West Coast of Northern Sumatra","BMKG"
"33","bmg2025xdyg","2025-11-26T10:59:27.171356Z","-7.171987533569336","129.84664916992188","4.5030457976849885","Mw(mB)","171","36","74.03163146972656","Banda Sea","BMKG"
"34","bmg2025xdvy","2025-11-26T09:49:15.550192Z","-9.337298393249512","114.54192352294922","4.798403847216035","Mw(mB)","23","91","188.5166778564453","South of Bali, Indonesia","BMKG"
"35","bmg2025xdvu","2025-11-26T09:44:50.424516Z","-2.5553226470947266","138.8830108642578","4.0400546235015486","MLv","8","18","95.44345092773438","West Papua, Indonesia","BMKG"
