"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"1","bmg2025vhhw","2025-10-30T20:11:16.074914Z","2.5612049102783203","125.77046966552734","4.2342665901897494","mb","129","82","66.16979598999023","Talaud Islands, Indonesia","BMKG"
"2","bmg2025vheo","2025-10-30T18:30:48.051026Z","-8.762798309326172","118.7788848876953","4.0204660410788717","MLv","5","44","96.75613403320312","Sumbawa Region, Indonesia","BMKG"
"3","bmg2025vgmr","2025-10-30T09:28:25.824885Z","-4.686527729034424","133.90866088867188","4.402480920302488","MLv","44","38","63.84356689453125","West Papua Region, Indonesia","BMKG"
"4","bmg2025vgma","2025-10-30T09:08:35.580426Z","1.2179572582244873","125.9116439819336","4.0170898517628","MLv","38","53","53.05902099609375","Northern Molucca Sea","BMKG"
"5","bmg2025vgky","2025-10-30T08:35:50.192252Z","-2.0340306758880615","138.99073791503906","4.932567724342473","Mw","26","49","168.56016540527344","West Papua, Indonesia","BMKG"
"6","bmg2025vgjx","2025-10-30T08:04:02.348957Z","-2.7404887676239014","139.35736083984375","4.92103961214992","Mw","40","127","76.44346237182617","Near North Coast of West Papua","BMKG"
"7","bmg2025vfyh","2025-10-30T02:12:35.536152Z","-4.0919957160949707","140.07049560546875","4.0598864824997323","MLv","123","21","114.64879608154297","West Papua, Indonesia","BMKG"
"8","bmg2025vfhu","2025-10-29T17:52:19.707275Z","3.951746463775635","124.11449432373047","4.898199889194752","Mw","400","117","93.64901161193848","Celebes Sea","BMKG"
"9","bmg2025vfen","2025-10-29T16:13:20.286725Z","2.849135398864746","128.1477813720703","4.2349844389973956","Mw","7","60","155.78273010253906","Halmahera, Indonesia","BMKG"
"10","bmg2025vexb","2025-10-29T12:26:17.316281Z","-6.198569297790527","131.3670654296875","4.928762691586308","MLv","110","42","101.70016479492188","Tanimbar Islands Region, Indonesia","BMKG"
"11","bmg2025vesw","2025-10-29T10:18:58.013363Z","2.7608747482299805","128.39382934570312","4.3093940279381906","MLv","204","45","159.29805755615234","Halmahera, Indonesia","BMKG"
"12","bmg2025vdyt","2025-10-29T00:09:50.695613Z","5.790249824523926","124.00259399414062","4.604618061760184","MLv","506","32","139.20517349243164","Mindanao, Philippines","BMKG"
"13","bmg2025vduj","2025-10-28T21:57:28.583572Z","-2.588411808013916","139.67893981933594","4.694526215794929","MLv","28","35","79.04289960861206","Near North Coast of West Papua","BMKG"
"14","bmg2025vdfy","2025-10-28T14:40:18.758679Z","-6.890662670135498","130.0721893310547","6.528913098871775","M","168","310","17.89611053466797","Banda Sea","BMKG"
"15","bmg2025vdet","2025-10-28T14:04:09.461082Z","-7.250561237335205","105.54966735839844","4.1998964066481044","MLv","7","86","217.2774658203125","Java, Indonesia","BMKG"
