"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"1","bmg2026cbgq","2026-01-30T03:33:54.465816Z","-10.334816932678223","119.1254425048828","4.01408537699261","M","10","16","222.81687927246094","Sumba Region, Indonesia","BMKG"
"2","bmg2026cbcc","2026-01-30T01:15:31.665242Z","-0.2931891977787018","124.66143798828125","4.799380341084108","Mw","86","247","21.518259048461914","Southern Molucca Sea","BMKG"
"3","bmg2026cawn","2026-01-29T22:26:54.949303Z","-3.383538007736206","136.43167114257812","4.002388949297215","M","10","13","270.8470764160156","West Papua, Indonesia","BMKG"
"4","bmg2026cawf","2026-01-29T22:17:10.001725Z","-3.396303415298462","136.43408203125","4.1872802593550933","M","10","13","271.7443542480469","West Papua, Indonesia","BMKG"
"5","bmg2026cavk","2026-01-29T21:52:56.792569Z","-6.939746856689453","130.08885192871094","4.795096484280307","M","155","23","73.55886840820312","Banda Sea","BMKG"
"6","bmg2026cati","2026-01-29T20:49:45.935444Z","-7.409131050109863","130.02825927734375","3.917137311298466","M","10","10","184.34861755371094","Tanimbar Islands Region, Indonesia","BMKG"
"7","bmg2026casn","2026-01-29T20:24:29.38864Z","-6.643099308013916","129.522216796875","3.996167886536892","M","135","14","204.68903827667236","Banda Sea","BMKG"
"8","bmg2026cakd","2026-01-29T16:10:59.758984Z","-7.140789985656738","105.40546417236328","3.807571185784683","M","10","22","227.79945373535156","Java, Indonesia","BMKG"
"9","bmg2026cahf","2026-01-29T14:43:25.916923Z","2.7814512252807617","96.08236694335938","4.3650433481468456","M","10","25","202.40676879882812","Northern Sumatra, Indonesia","BMKG"
"10","bmg2026bzft","2026-01-29T00:50:52.627748Z","-6.47418212890625","129.91502380371094","4.673457606738212","M","203","19","87.71957015991211","Banda Sea","BMKG"
"11","bmg2026bzak","2026-01-28T22:07:48.153003Z","1.5065083503723145","123.45880889892578","4.3902096620290454","M","10","54","107.26785278320312","Minahassa Peninsula, Sulawesi","BMKG"
"12","bmg2026byty","2026-01-28T18:52:52.158798Z","1.4807417392730713","123.50141143798828","4.84660920135306","MLv","10","64","100.96771621704102","Minahassa Peninsula, Sulawesi","BMKG"
"13","bmg2026bytf","2026-01-28T18:30:17.092216Z","-8.678733825683594","118.38572692871094","5.046976782292202","MLv","109","111","129.32721710205078","Sumbawa Region, Indonesia","BMKG"
"14","bmg2026byso","2026-01-28T18:10:54.851918Z","4.38057804107666","126.41249084472656","4.2823246251769733","MLv","88","23","136.23283863067627","Talaud Islands, Indonesia","BMKG"
"15","bmg2026byqz","2026-01-28T17:22:26.34142Z","-7.330838680267334","130.4176025390625","5.052587204513123","mb","10","62","75.22743225097656","Tanimbar Islands Region, Indonesia","BMKG"
"16","bmg2026bymv","2026-01-28T15:17:11.973362Z","-8.453916549682617","118.94515991210938","3.8451851877453387","MLv","151","48","75.49658203125","Sumbawa Region, Indonesia","BMKG"
"17","bmg2026bxjv","2026-01-28T00:37:27.21202Z","-0.3642564117908478","125.19700622558594","4.452183045241652","M","10","24","47.97238159179688","Southern Molucca Sea","BMKG"
"18","bmg2026bxgu","2026-01-27T23:06:06.684777Z","-10.169201850891113","112.4520492553711","4.538863701321567","M","10","49","226.2561264038086","South of Java, Indonesia","BMKG"
"19","bmg2026bxdf","2026-01-27T21:16:53.022511Z","-0.22336450219154358","134.29739379882812","4.151856199554862","M","46","28","179.02770233154297","West Papua Region, Indonesia","BMKG"
"20","bmg2026bwzg","2026-01-27T19:16:39.68392Z","-9.136713027954102","116.578857421875","4.0001870487563496","M","100","60","183.99935913085938","Sumbawa Region, Indonesia","BMKG"
"21","bmg2026bwpl","2026-01-27T14:20:07.020585Z","-4.532309055328369","101.10462951660156","4.600661878113632","M","10","38","202.69403076171875","Southern Sumatra, Indonesia","BMKG"
"22","bmg2026bwdn","2026-01-27T08:18:28.390091Z","-8.403398513793945","109.02313995361328","4.234809690733033","M","10","25","215.36646270751953","Java, Indonesia","BMKG"
"23","bmg2026bwbd","2026-01-27T07:06:19.502647Z","0.42921802401542664","123.843017578125","3.965866441017225","M","203","42","108.36902236938477","Minahassa Peninsula, Sulawesi","BMKG"
"24","bmg2026bvzm","2026-01-27T06:15:33.554056Z","-7.895914554595947","110.49030303955078","4.4507476663056567","Mw","10","70","63.26437377929688","Java, Indonesia","BMKG"
"25","bmg2026bvpt","2026-01-27T01:20:43.312124Z","-8.09596061706543","111.34378051757812","5.681507283615016","Mw","124","418","17.437301635742188","Java, Indonesia","BMKG"
"26","bmg2026bvow","2026-01-27T00:54:38.598618Z","-3.493072986602783","140.3103790283203","4.4346203938994924","MLv","26","19","86.58470916748047","West Papua, Indonesia","BMKG"
"27","bmg2026bvho","2026-01-26T21:12:04.355604Z","-1.605548620223999","120.8680419921875","4.2216221667736873","MLv","10","65","37.69409942626953","Sulawesi, Indonesia","BMKG"
"28","bmg2026buvh","2026-01-26T15:00:12.259852Z","-9.198058128356934","124.11656951904297","4.454656822806318","M","91","35","57.2263069152832","Timor Region","BMKG"
"29","bmg2026buta","2026-01-26T13:51:37.41811Z","-7.484363079071045","105.15602111816406","4.596620587466614","M","34","22","242.4999084472656","Java, Indonesia","BMKG"
"30","bmg2026bukd","2026-01-26T09:22:31.56532Z","-2.4881632328033447","126.61702728271484","3.864928320526968","M","10","15","108.70069885253906","Ceram Sea","BMKG"
"31","bmg2026bttj","2026-01-26T00:54:01.765192Z","-7.71800947189331","127.78848266601562","5.094389010451859","Mw","166","226","21.497894287109375","Banda Sea","BMKG"
"32","bmg2026btmo","2026-01-25T21:28:24.995616Z","-0.4361637830734253","123.55669403076172","4.266073755831722","M","10","20","221.77008056640625","Minahassa Peninsula, Sulawesi","BMKG"
"33","bmg2026btgo","2026-01-25T18:25:32.604956Z","-4.492743968963623","123.0069808959961","3.818848756334141","M","11","51","123.1649169921875","Banda Sea","BMKG"
"34","bmg2026btcx","2026-01-25T16:34:48.776605Z","-6.758572101593018","130.0460968017578","4.4246831527359234","M","142","26","79.4473876953125","Banda Sea","BMKG"
"35","bmg2026bswe","2026-01-25T13:10:52.755614Z","-6.582830905914307","104.3464584350586","4.0657530163722955","MLv","25","53","191.4765396118164","Sunda Strait, Indonesia","BMKG"
"36","bmg2026bsnp","2026-01-25T08:51:25.390039Z","-8.830491065979004","110.21334838867188","4.73507031166773","MLv","10","69","211.0707778930664","Java, Indonesia","BMKG"
"37","bmg2026bsis","2026-01-25T06:22:33.593041Z","-6.21900749206543","130.70989990234375","5.124895896967169","Mw","111","79","61.53201293945312","Banda Sea","BMKG"
"38","bmg2026brym","2026-01-25T01:13:04.871336Z","5.670502185821533","126.90977478027344","3.838521240876273","M","43","9","201.89373779296875","Mindanao, Philippines","BMKG"
"39","bmg2026brvn","2026-01-24T23:42:38.003477Z","0.8993241190910339","127.62639617919922","4.466396188793114","M","10","19","81.87360382080078","Halmahera, Indonesia","BMKG"
"40","bmg2026brvm","2026-01-24T23:41:37.354005Z","1.4973779916763306","127.86158752441406","4.429284625448486","M","10","10","116.10358810424805","Halmahera, Indonesia","BMKG"
"41","bmg2026brje","2026-01-24T17:28:51.104788Z","-0.19072601199150085","124.5398178100586","4.409565096526575","MLv","10","30","65.97105407714844","Southern Molucca Sea","BMKG"
"42","bmg2026bqvw","2026-01-24T10:45:55.019025Z","5.027393341064453","125.47330474853516","5.02495536649387","mb","172","185","58.99192214012146","Mindanao, Philippines","BMKG"
"43","bmg2026bqty","2026-01-24T09:46:57.828082Z","-0.6674121618270874","119.79804229736328","4.346236057760616","M","10","45","76.62173461914062","Minahassa Peninsula, Sulawesi","BMKG"
"44","bmg2026bqch","2026-01-24T00:52:34.257015Z","5.391201972961426","126.5604248046875","4.511111444964865","M","10","15","144.1443018913269","Mindanao, Philippines","BMKG"
"45","bmg2026bpzp","2026-01-23T23:30:42.321122Z","4.1325645446777344","123.45836639404297","4.531519457706094","M","10","22","198.89785766601562","Celebes Sea","BMKG"
"46","bmg2026bozb","2026-01-23T10:05:43.922904Z","-10.78266429901123","111.89909362792969","4.6970121083777","M","10","25","265.2037048339844","South of Java, Indonesia","BMKG"
"47","bmg2026bovr","2026-01-23T08:22:55.637288Z","0.5072593688964844","129.34165954589844","4.192555717833123","M","10","24","138.6436309814453","Halmahera, Indonesia","BMKG"
"48","bmg2026boun","2026-01-23T07:47:55.348585Z","-0.05495155230164528","111.88276672363281","4.751143973561842","Mw","10","48","52.28168106079102","Borneo","BMKG"
"49","bmg2026bngy","2026-01-22T11:48:48.940598Z","-0.19104456901550293","124.6190643310547","4.291040132281587","MLv","10","56","47.13430786132812","Southern Molucca Sea","BMKG"
"50","bmg2026bngf","2026-01-22T11:26:05.159045Z","1.1942715644836426","126.43277740478516","4.3764025497606855","MLv","20","37","60.96585083007812","Northern Molucca Sea","BMKG"
"51","bmg2026bmug","2026-01-22T05:23:55.813349Z","-0.21731698513031006","123.1044921875","3.8221787758374326","M","67","29","165.6176300048828","Minahassa Peninsula, Sulawesi","BMKG"
"52","bmg2026bmov","2026-01-22T02:40:03.935656Z","-1.1788336038589478","100.29999542236328","4.088594964240735","M","70","60","36.16664123535156","Southern Sumatra, Indonesia","BMKG"
"53","bmg2026bmhc","2026-01-21T22:44:44.524242Z","-0.2370298057794571","122.70291900634766","5.133619508931295","Mw","81","203","23.79052734375","Minahassa Peninsula, Sulawesi","BMKG"
"54","bmg2026blrf","2026-01-21T14:43:55.395226Z","-5.038508415222168","130.04026794433594","3.8220214682778924","M","195","22","197.39949798583984","Banda Sea","BMKG"
"55","bmg2026blqu","2026-01-21T14:30:22.922154Z","-7.018737316131592","126.49972534179688","4.801810563195218","M","394","22","112.35998916625977","Banda Sea","BMKG"
"56","bmg2026blpo","2026-01-21T13:53:34.819962Z","-2.19875431060791","138.7298583984375","4.4312002056659443","M","17","24","111.71417808532715","West Papua, Indonesia","BMKG"
"57","bmg2026blgl","2026-01-21T09:16:57.228278Z","-10.462969779968262","120.4413299560547","4.201181226279287","M","50","38","196.24681091308594","Sumba Region, Indonesia","BMKG"
"58","bmg2026blah","2026-01-21T06:11:07.400508Z","4.19945764541626","97.54389953613281","4.3697369564374675","M","10","22","124.84896850585938","Northern Sumatra, Indonesia","BMKG"
"59","bmg2026bkzp","2026-01-21T05:49:38.057231Z","-7.094161510467529","129.76580810546875","5.401424411176162","Mw(mB)","137","166","49.68453216552734","Banda Sea","BMKG"
"60","bmg2026bkyl","2026-01-21T05:14:33.585445Z","5.935058116912842","123.72410583496094","4.580864219865909","M","97","28","188.90741729736328","Mindanao, Philippines","BMKG"
"61","bmg2026bkud","2026-01-21T03:03:58.622689Z","1.7913378477096558","127.30419158935547","3.903393627187288","M","10","30","83.43058013916016","Halmahera, Indonesia","BMKG"
"62","bmg2026bkuc","2026-01-21T03:02:48.715625Z","-1.2663519382476807","99.67082977294922","3.919483018615285","M","23","42","58.44842529296875","Southern Sumatra, Indonesia","BMKG"
"63","bmg2026bklg","2026-01-20T22:33:42.344761Z","-5.009623050689697","131.5235595703125","3.9338925359503905","M","50","19","102.31742858886719","Banda Sea","BMKG"
"64","bmg2026bkhk","2026-01-20T20:37:55.103112Z","1.7710208892822266","125.5475616455078","4.278135475275655","M","10","50","54.36715888977051","Northern Molucca Sea","BMKG"
"65","bmg2026bkdo","2026-01-20T18:41:48.774848Z","2.348230838775635","125.36123657226562","3.857012841942073","M","10","28","121.39255094528198","Talaud Islands, Indonesia","BMKG"
"66","bmg2026bjzb","2026-01-20T16:25:24.113065Z","0.04981700703501701","97.12981414794922","4.618569076868486","M","33","44","215.63986206054688","Northern Sumatra, Indonesia","BMKG"
"67","bmg2026bjie","2026-01-20T07:53:12.507025Z","-2.285102844238281","139.5623016357422","4.146696756965808","MLv","50","16","167.1240005493164","Near North Coast of West Papua","BMKG"
"68","bmg2026bjag","2026-01-20T03:53:20.766062Z","5.09597635269165","127.33478546142578","3.9019045896854245","M","45","11","220.70140075683594","Philippine Islands Region","BMKG"
"69","bmg2026bipd","2026-01-19T22:15:55.729678Z","-7.424975395202637","128.51568603515625","4.600587290036112","Mw","174","133","53.10411834716797","Banda Sea","BMKG"
"70","bmg2026bimn","2026-01-19T20:57:09.786167Z","-10.328357696533203","123.51177978515625","3.9726276902711644","M","13","21","152.5021514892578","Timor Region","BMKG"
"71","bmg2026bikh","2026-01-19T19:49:27.789565Z","4.1059255599975586","126.68682098388672","3.99964314961305","M","24","10","144.19154357910156","Talaud Islands, Indonesia","BMKG"
"72","bmg2026bhsx","2026-01-19T11:02:48.824132Z","-2.642516851425171","102.14225769042969","4.806676809348986","Mw","170","115","51.84754943847656","Southern Sumatra, Indonesia","BMKG"
"73","bmg2026bhpy","2026-01-19T09:32:39.144125Z","1.6292871236801147","127.24461364746094","4.328030673285733","M","121","46","70.87508010864258","Halmahera, Indonesia","BMKG"
"74","bmg2026bhmz","2026-01-19T08:02:54.488837Z","-6.646128177642822","130.1832275390625","4.0726331501814865","M","133","13","177.4724578857422","Banda Sea","BMKG"
"75","bmg2026bhmn","2026-01-19T07:49:17.651147Z","-7.724529266357422","127.61270904541016","4.535522324550243","M","97","17","123.0786476135254","Banda Sea","BMKG"
"76","bmg2026bgzk","2026-01-19T01:10:50.671574Z","-5.846915245056152","105.79069519042969","4.648783520064541","M","128","63","72.84120178222656","Sunda Strait, Indonesia","BMKG"
"77","bmg2026bgns","2026-01-18T19:17:13.089713Z","-5.891246318817139","130.53009033203125","3.990999674386175","M","10","18","274.0174789428711","Banda Sea","BMKG"
"78","bmg2026bgky","2026-01-18T17:53:13.246742Z","-0.11995985358953476","124.66543579101562","5.014087297621113","mb","68","133","32.12548828125","Southern Molucca Sea","BMKG"
"79","bmg2026bgjc","2026-01-18T16:56:15.986335Z","-8.966703414916992","111.2752456665039","3.9250294278876194","M","10","34","232.33543395996094","Java, Indonesia","BMKG"
"80","bmg2026bgfv","2026-01-18T15:18:14.78052Z","4.2863450050354","126.84420013427734","4.3281142728006516","M","10","17","149.140625","Talaud Islands, Indonesia","BMKG"
"81","bmg2026bgdf","2026-01-18T13:58:48.084914Z","-6.11557674407959","130.5132598876953","4.4799987898107547","MLv","160","25","67.05509948730469","Banda Sea","BMKG"
"82","bmg2026bfyg","2026-01-18T11:28:00.337807Z","-2.795060396194458","125.00357055664062","4.4909658973451547","M","15","57","65.31181335449219","Ceram Sea","BMKG"
"83","bmg2026bfpy","2026-01-18T07:16:34.334734Z","-2.782254695892334","128.11248779296875","4.320865851497169","M","18","32","70.97674560546875","Ceram Sea","BMKG"
"84","bmg2026bfos","2026-01-18T06:38:55.511656Z","-2.2037017345428467","138.8571319580078","4.739501345036427","Mw","18","93","96.33608055114746","West Papua, Indonesia","BMKG"
"85","bmg2026bfka","2026-01-18T04:16:48.860943Z","0.5337933897972107","125.3720703125","5.132344647416792","Mw(mB)","43","131","31.073740005493164","Northern Molucca Sea","BMKG"
"86","bmg2026bfea","2026-01-18T01:15:14.051893Z","-2.55181360244751","139.34756469726562","4.80802279796532","Mw(mB)","36","67","89.3626708984375","Near North Coast of West Papua","BMKG"
"87","bmg2026bevg","2026-01-17T20:49:30.279272Z","-10.6390380859375","110.89979553222656","3.8140858181779573","M","10","37","286.4197769165039","South of Java, Indonesia","BMKG"
"88","bmg2026beuk","2026-01-17T20:23:41.41757Z","4.174358367919922","97.51790618896484","4.3495795264876076","MLv","5","41","83.67609024047852","Northern Sumatra, Indonesia","BMKG"
"89","bmg2026bemc","2026-01-17T16:11:19.707353Z","-0.20573294162750244","123.40283966064453","3.9538425466264493","M","112","25","204.203857421875","Minahassa Peninsula, Sulawesi","BMKG"
"90","bmg2026bemb","2026-01-17T16:10:43.990913Z","-10.155200004577637","119.41761779785156","3.9747180942916587","M","10","27","214.63265228271484","Sumba Region, Indonesia","BMKG"
"91","bmg2026bekt","2026-01-17T15:30:22.918803Z","-10.4228515625","123.6156005859375","3.9085880119130896","M","36","24","100.51123046875","Timor Region","BMKG"
"92","bmg2026beho","2026-01-17T13:53:30.901794Z","-9.755111694335938","118.71167755126953","4.096560627102489","M","58","58","180.29556274414062","Sumbawa Region, Indonesia","BMKG"
"93","bmg2026behn","2026-01-17T13:53:04.886877Z","4.91630744934082","127.5672149658203","4.598677518818107","M","10","15","201.62303161621094","Talaud Islands, Indonesia","BMKG"
"94","bmg2026bdft","2026-01-16T23:50:45.047786Z","-3.2618846893310547","128.73538208007812","5.149003278019183","Mw","73","213","23.747283935546875","Seram, Indonesia","BMKG"
"95","bmg2026bcqe","2026-01-16T15:58:14.146663Z","0.7952662706375122","97.2190933227539","4.01327476038931","M","28","36","204.65435791015625","Northern Sumatra, Indonesia","BMKG"
"96","bmg2026bcjr","2026-01-16T12:41:42.143442Z","1.4894651174545288","120.85888671875","4.416551051331447","M","10","41","135.4993133544922","Minahassa Peninsula, Sulawesi","BMKG"
"97","bmg2026bchf","2026-01-16T11:26:42.444778Z","-5.93186616897583","130.60629272460938","4.0499224094650037","M","80","16","243.04246520996094","Banda Sea","BMKG"
"98","bmg2026bceq","2026-01-16T10:09:02.490689Z","-1.103134036064148","127.5865936279297","4.166716004200473","M","37","22","68.73446655273438","Halmahera, Indonesia","BMKG"
"99","bmg2026bbkh","2026-01-15T23:51:59.905529Z","0.7336298823356628","127.14788055419922","4.181927790918243","MLv","93","50","39.33709716796875","Halmahera, Indonesia","BMKG"
"100","bmg2026bber","2026-01-15T21:02:26.811826Z","-6.894867420196533","129.70333862304688","4.027228495870448","MLv","187","23","87.17643737792969","Banda Sea","BMKG"
"101","bmg2026bavq","2026-01-15T16:27:44.629548Z","-8.291349411010742","122.35140991210938","4.166535433372446","M","190","23","178.14006805419922","Flores Region, Indonesia","BMKG"
"102","bmg2026bask","2026-01-15T14:49:28.918669Z","-9.182682991027832","118.50205993652344","4.65081399909135","M","10","48","162.51156616210938","Sumbawa Region, Indonesia","BMKG"
"103","bmg2026azde","2026-01-14T18:00:29.353994Z","1.9426684379577637","127.2613525390625","4.80242594452333","Mw(mB)","100","89","86.62920379638672","Halmahera, Indonesia","BMKG"
"104","bmg2026aywo","2026-01-14T14:39:21.006028Z","-9.238822937011719","122.46593475341797","4.914623229582227","M","10","102","44.76782836296053","Savu Sea","BMKG"
"105","bmg2026ayqe","2026-01-14T11:26:07.66106Z","1.5474793910980225","128.20108032226562","3.828008579298881","M","10","11","132.60363912582397","Halmahera, Indonesia","BMKG"
"106","bmg2026ayfu","2026-01-14T06:10:28.789068Z","-7.396426677703857","128.60763549804688","4.839466064962131","M","124","12","336.92234802246094","Banda Sea","BMKG"
"107","bmg2026axut","2026-01-14T00:36:47.585123Z","0.7581381797790527","122.427490234375","4.2049974504592713","MLv","62","38","89.38677978515625","Minahassa Peninsula, Sulawesi","BMKG"
"108","bmg2026axmr","2026-01-13T20:31:41.208181Z","3.2820818424224854","127.14352416992188","4.178910282182727","MLv","5","32","144.06317138671875","Talaud Islands, Indonesia","BMKG"
"109","bmg2026axjp","2026-01-13T18:58:09.595813Z","1.1470798254013062","126.1551971435547","4.741204063581984","Mw(mB)","10","84","43.061132431030273","Northern Molucca Sea","BMKG"
"110","bmg2026axhr","2026-01-13T18:00:52.593578Z","5.318860054016113","127.19158172607422","4.2269596265634375","M","145","36","215.44512939453125","Philippine Islands Region","BMKG"
"111","bmg2026axgl","2026-01-13T17:23:01.605529Z","4.691661834716797","124.49629974365234","4.732258865119885","M","40","71","106.52319526672363","Celebes Sea","BMKG"
"112","bmg2026awtc","2026-01-13T10:37:55.776138Z","-8.574603080749512","134.90907287597656","4.866220986857477","mb","10","47","87.79756164550781","Arafura Sea","BMKG"
"113","bmg2026awrq","2026-01-13T09:53:39.46499Z","-5.329028606414795","101.6952133178711","4.095417532458751","M","27","18","236.81146240234375","Southwest of Sumatra, Indonesia","BMKG"
"114","bmg2026awfo","2026-01-13T03:48:02.572735Z","2.8885557651519775","126.6910858154297","4.012286414631949","M","10","11","114.4722442626953","Northern Molucca Sea","BMKG"
"115","bmg2026awfj","2026-01-13T03:42:01.083366Z","3.4653475284576416","127.11988830566406","3.880276646282642","M","42","12","177.22506713867188","Talaud Islands, Indonesia","BMKG"
"116","bmg2026awcd","2026-01-13T02:03:42.338765Z","2.935349702835083","126.66132354736328","4.233899725702673","M","20","21","113.9194286763668","Northern Molucca Sea","BMKG"
"117","bmg2026awbx","2026-01-13T01:57:06.579821Z","2.359323263168335","128.25721740722656","4.3921476950375444","M","85","19","184.32521057128906","Halmahera, Indonesia","BMKG"
